# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
139.00000000,BACKGROUND13,BACKGROUND16,start
141.00000000,BACKGROUND13,BACKGROUND16,end
198.00000000,BACKGROUND11,SURVEILLANCE_LUFTHANSA,start
199.00000000,BACKGROUND11,SURVEILLANCE_LUFTHANSA,end
228.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,start
235.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
248.00000000,BACKGROUND7,SURVEILLANCE_LUFTHANSA,start
249.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,end
249.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
266.00000000,BACKGROUND7,SURVEILLANCE_LUFTHANSA,end
271.00000000,BACKGROUND19,BACKGROUND8,start
275.00000000,BACKGROUND19,BACKGROUND8,end
313.00000000,BACKGROUND40,SURVEILLANCE_EUROWINGS,start
321.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,start
322.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,start
326.00000000,BACKGROUND34,BACKGROUND42,start
327.00000000,BACKGROUND34,BACKGROUND42,end
335.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,end
342.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,end
344.00000000,BACKGROUND40,SURVEILLANCE_EUROWINGS,end
345.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,start
346.00000000,BACKGROUND18,BACKGROUND21,start
355.00000000,BACKGROUND18,BACKGROUND21,end
361.00000000,BACKGROUND18,BACKGROUND46,start
361.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,end
362.00000000,BACKGROUND18,BACKGROUND46,end
367.00000000,BACKGROUND21,BACKGROUND46,start
369.00000000,BACKGROUND21,BACKGROUND46,end
370.00000000,BACKGROUND47,SURVEILLANCE_EUROWINGS,start
374.00000000,BACKGROUND29,BACKGROUND40,start
376.00000000,BACKGROUND47,SURVEILLANCE_EUROWINGS,end
384.00000000,BACKGROUND29,BACKGROUND40,end
385.00000000,BACKGROUND47,SURVEILLANCE_EUROWINGS,start
386.00000000,BACKGROUND47,SURVEILLANCE_EUROWINGS,end
404.00000000,BACKGROUND37,BACKGROUND44,start
416.00000000,BACKGROUND37,BACKGROUND44,end
435.00000000,BACKGROUND52,BACKGROUND58,start
445.00000000,BACKGROUND52,BACKGROUND58,end
469.00000000,BACKGROUND43,BACKGROUND51,start
479.00000000,BACKGROUND43,BACKGROUND51,end
499.00000000,BACKGROUND29,BACKGROUND56,start
504.00000000,BACKGROUND29,BACKGROUND56,end
507.00000000,BACKGROUND46,SURVEILLANCEOP5,start
509.00000000,BACKGROUND46,SURVEILLANCEOP5,end
523.00000000,BACKGROUND46,SURVEILLANCEOP5,start
526.00000000,BACKGROUND46,SURVEILLANCEOP5,end
530.00000000,BACKGROUND46,SURVEILLANCEOP5,start
531.00000000,BACKGROUND46,SURVEILLANCEOP5,end
570.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
595.00000000,BACKGROUND59,BACKGROUND73,start
605.00000000,BACKGROUND59,BACKGROUND73,end
639.00000000,BACKGROUND69,BACKGROUND79,start
650.00000000,BACKGROUND69,BACKGROUND79,end
676.00000000,BACKGROUND68,BACKGROUND79,start
688.00000000,BACKGROUND68,BACKGROUND79,end
693.00000000,BACKGROUND78,BACKGROUND83,start
697.00000000,BACKGROUND78,BACKGROUND83,end
708.00000000,BACKGROUND60,BACKGROUND86,start
720.00000000,BACKGROUND60,BACKGROUND86,end
732.00000000,BACKGROUND23,BACKGROUND77,start
739.00000000,BACKGROUND80,BACKGROUND87,start
744.00000000,BACKGROUND23,BACKGROUND77,end
746.00000000,BACKGROUND80,BACKGROUND87,end
762.00000000,BACKGROUND23,BACKGROUND77,start
766.00000000,BACKGROUND23,BACKGROUND77,end
767.00000000,BACKGROUND84,BACKGROUND90,start
769.00000000,BACKGROUND75,BACKGROUND79,start
773.00000000,BACKGROUND75,BACKGROUND79,end
778.00000000,BACKGROUND84,BACKGROUND90,end
807.00000000,BACKGROUND102,BACKGROUND106,start
809.00000000,BACKGROUND102,BACKGROUND106,end
811.00000000,BACKGROUND83,BACKGROUND95,start
811.00000000,BACKGROUND106,BACKGROUND98,start
815.00000000,BACKGROUND106,BACKGROUND98,end
824.00000000,BACKGROUND83,BACKGROUND95,end
929.00000000,BACKGROUND105,BACKGROUND113,start
930.00000000,BACKGROUND105,BACKGROUND113,end
941.00000000,BACKGROUND104,BACKGROUND117,start
944.00000000,BACKGROUND117,BACKGROUND96,start
951.00000000,BACKGROUND104,BACKGROUND117,end
952.00000000,BACKGROUND117,BACKGROUND96,end
962.00000000,BACKGROUND118,BACKGROUND99,start
972.00000000,BACKGROUND118,BACKGROUND99,end
988.00000000,BACKGROUND123,BACKGROUND129,start
990.00000000,BACKGROUND105,BACKGROUND99,start
991.00000000,BACKGROUND123,BACKGROUND129,end
1015.00000000,BACKGROUND105,BACKGROUND99,end
1017.00000000,BACKGROUND105,BACKGROUND99,start
1019.00000000,BACKGROUND105,BACKGROUND99,end
1115.00000000,BACKGROUND107,BACKGROUND129,start
1118.00000000,BACKGROUND107,BACKGROUND129,end
1128.00000000,BACKGROUND130,BACKGROUND132,start
